"","LevelD","MM1","MM2","MM3","MM4","MV1","MV2","MV3","UM1","UM2","UM3","UM4","UM5","Order","LevelA","LevelB","LevelC_id","LevelC","LevelD_id","EC"
"1","K00001",4379,3051,863,927,6577,1171,728,4384,2599,3284,3609,5049,7644,"Metabolism","Xenobiotics biodegradation and metabolism",980,"Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]","E1.1.1.1	 adh; alcohol dehydrogenase ","[EC:1.1.1.1]								"
"2","K00001",4379,3051,863,927,6577,1171,728,4384,2599,3284,3609,5049,4640,"Metabolism","Amino acid metabolism",350,"Tyrosine metabolism [PATH:ko00350]","E1.1.1.1	 adh; alcohol dehydrogenase ","[EC:1.1.1.1]								"
"3","K00001",4379,3051,863,927,6577,1171,728,4384,2599,3284,3609,5049,972,"Metabolism","Carbohydrate metabolism",10,"Glycolysis / Gluconeogenesis [PATH:ko00010]","E1.1.1.1	 adh; alcohol dehydrogenase ","[EC:1.1.1.1]								"
"4","K00001",4379,3051,863,927,6577,1171,728,4384,2599,3284,3609,5049,7660,"Metabolism","Xenobiotics biodegradation and metabolism",982,"Drug metabolism - cytochrome P450 [PATH:ko00982]","E1.1.1.1	 adh; alcohol dehydrogenase ","[EC:1.1.1.1]								"
"5","K00001",4379,3051,863,927,6577,1171,728,4384,2599,3284,3609,5049,7533,"Metabolism","Xenobiotics biodegradation and metabolism",626,"Naphthalene degradation [PATH:ko00626]","E1.1.1.1	 adh; alcohol dehydrogenase ","[EC:1.1.1.1]								"
"6","K00001",4379,3051,863,927,6577,1171,728,4384,2599,3284,3609,5049,5762,"Metabolism","Metabolism of cofactors and vitamins",830,"Retinol metabolism [PATH:ko00830]","E1.1.1.1	 adh; alcohol dehydrogenase ","[EC:1.1.1.1]								"
"7","K00001",4379,3051,863,927,6577,1171,728,4384,2599,3284,3609,5049,7257,"Metabolism","Xenobiotics biodegradation and metabolism",625,"Chloroalkane and chloroalkene degradation [PATH:ko00625]","E1.1.1.1	 adh; alcohol dehydrogenase ","[EC:1.1.1.1]								"
"8","K00001",4379,3051,863,927,6577,1171,728,4384,2599,3284,3609,5049,3004,"Metabolism","Lipid metabolism",71,"Fatty acid degradation [PATH:ko00071]","E1.1.1.1	 adh; alcohol dehydrogenase ","[EC:1.1.1.1]								"
"9","K00001",4379,3051,863,927,6577,1171,728,4384,2599,3284,3609,5049,912,"Metabolism","Overview",1220,"Degradation of aromatic compounds [PATH:ko01220]","E1.1.1.1	 adh; alcohol dehydrogenase ","[EC:1.1.1.1]								"
"10","K00002",666,517,169,146,770,177,115,747,828,715,743,955,3139,"Metabolism","Lipid metabolism",561,"Glycerolipid metabolism [PATH:ko00561]","AKR1A1	 adh; alcohol dehydrogenase (NADP+) ","[EC:1.1.1.2]								"
"11","K00002",666,517,169,146,770,177,115,747,828,715,743,955,868,"Metabolism","Overview",1220,"Degradation of aromatic compounds [PATH:ko01220]","AKR1A1	 adh; alcohol dehydrogenase (NADP+) ","[EC:1.1.1.2]								"
"12","K00002",666,517,169,146,770,177,115,747,828,715,743,955,1177,"Metabolism","Carbohydrate metabolism",40,"Pentose and glucuronate interconversions [PATH:ko00040]","AKR1A1	 adh; alcohol dehydrogenase (NADP+) ","[EC:1.1.1.2]								"
"13","K00002",666,517,169,146,770,177,115,747,828,715,743,955,7478,"Metabolism","Xenobiotics biodegradation and metabolism",930,"Caprolactam degradation [PATH:ko00930]","AKR1A1	 adh; alcohol dehydrogenase (NADP+) ","[EC:1.1.1.2]								"
"14","K00002",666,517,169,146,770,177,115,747,828,715,743,955,973,"Metabolism","Carbohydrate metabolism",10,"Glycolysis / Gluconeogenesis [PATH:ko00010]","AKR1A1	 adh; alcohol dehydrogenase (NADP+) ","[EC:1.1.1.2]								"
"15","K00003",4053,3390,1178,871,5077,1666,760,4240,3429,3639,4488,5038,4159,"Metabolism","Amino acid metabolism",270,"Cysteine and methionine metabolism [PATH:ko00270]","E1.1.1.3; homoserine dehydrogenase ","[EC:1.1.1.3]									"
"16","K00003",4053,3390,1178,871,5077,1666,760,4240,3429,3639,4488,5038,4280,"Metabolism","Amino acid metabolism",300,"Lysine biosynthesis [PATH:ko00300]","E1.1.1.3; homoserine dehydrogenase ","[EC:1.1.1.3]									"
"17","K00003",4053,3390,1178,871,5077,1666,760,4240,3429,3639,4488,5038,556,"Metabolism","Overview",1230,"Biosynthesis of amino acids [PATH:ko01230]","E1.1.1.3; homoserine dehydrogenase ","[EC:1.1.1.3]									"
"18","K00003",4053,3390,1178,871,5077,1666,760,4240,3429,3639,4488,5038,4015,"Metabolism","Amino acid metabolism",260,"Glycine serine and threonine metabolism [PATH:ko00260]","E1.1.1.3; homoserine dehydrogenase ","[EC:1.1.1.3]									"
"19","K00005",488,59,178,21,287,99,90,310,327,375,559,60,1952,"Metabolism","Carbohydrate metabolism",640,"Propanoate metabolism [PATH:ko00640]","gldA; glycerol dehydrogenase ","[EC:1.1.1.6]									"
"20","K00005",488,59,178,21,287,99,90,310,327,375,559,60,3143,"Metabolism","Lipid metabolism",561,"Glycerolipid metabolism [PATH:ko00561]","gldA; glycerol dehydrogenase ","[EC:1.1.1.6]									"
"21","K00006",185,145,33,0,211,55,38,203,190,56,214,62,3208,"Metabolism","Lipid metabolism",564,"Glycerophospholipid metabolism [PATH:ko00564]","GPD1; glycerol-3-phosphate dehydrogenase (NAD+) ","[EC:1.1.1.8]									"
"22","K00007",294,175,96,17,193,147,28,364,266,318,364,503,1198,"Metabolism","Carbohydrate metabolism",40,"Pentose and glucuronate interconversions [PATH:ko00040]","dalD; D-arabinitol 4-dehydrogenase ","[EC:1.1.1.11]									"
"23","K00007",294,175,96,17,193,147,28,364,266,318,364,503,1275,"Metabolism","Carbohydrate metabolism",51,"Fructose and mannose metabolism [PATH:ko00051]","dalD; D-arabinitol 4-dehydrogenase ","[EC:1.1.1.11]									"
"24","K00008",1188,934,287,137,1074,239,256,1252,1000,1003,979,1540,1268,"Metabolism","Carbohydrate metabolism",51,"Fructose and mannose metabolism [PATH:ko00051]","SORD	 gutB; L-iditol 2-dehydrogenase ","[EC:1.1.1.14]								"
"25","K00008",1188,934,287,137,1074,239,256,1252,1000,1003,979,1540,1200,"Metabolism","Carbohydrate metabolism",40,"Pentose and glucuronate interconversions [PATH:ko00040]","SORD	 gutB; L-iditol 2-dehydrogenase ","[EC:1.1.1.14]								"
"26","K00009",245,147,0,0,172,47,0,537,58,216,225,245,1263,"Metabolism","Carbohydrate metabolism",51,"Fructose and mannose metabolism [PATH:ko00051]","mtlD; mannitol-1-phosphate 5-dehydrogenase ","[EC:1.1.1.17]									"
"27","K00010",2210,1593,401,395,1659,288,685,1786,1687,1621,1806,2289,6999,"Metabolism","Biosynthesis of other secondary metabolites",521,"Streptomycin biosynthesis [PATH:ko00521]","iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase ","[EC:1.1.1.18 1.1.1.369]									"
"28","K00010",2210,1593,401,395,1659,288,685,1786,1687,1621,1806,2289,2122,"Metabolism","Carbohydrate metabolism",562,"Inositol phosphate metabolism [PATH:ko00562]","iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase ","[EC:1.1.1.18 1.1.1.369]									"
"29","K00011",460,196,69,19,373,124,39,271,301,295,379,373,3138,"Metabolism","Lipid metabolism",561,"Glycerolipid metabolism [PATH:ko00561]","E1.1.1.21	 AKR1; aldehyde reductase ","[EC:1.1.1.21]								"
"30","K00011",460,196,69,19,373,124,39,271,301,295,379,373,1337,"Metabolism","Carbohydrate metabolism",52,"Galactose metabolism [PATH:ko00052]","E1.1.1.21	 AKR1; aldehyde reductase ","[EC:1.1.1.21]								"
"31","K00011",460,196,69,19,373,124,39,271,301,295,379,373,1190,"Metabolism","Carbohydrate metabolism",40,"Pentose and glucuronate interconversions [PATH:ko00040]","E1.1.1.21	 AKR1; aldehyde reductase ","[EC:1.1.1.21]								"
"32","K00011",460,196,69,19,373,124,39,271,301,295,379,373,1269,"Metabolism","Carbohydrate metabolism",51,"Fructose and mannose metabolism [PATH:ko00051]","E1.1.1.21	 AKR1; aldehyde reductase ","[EC:1.1.1.21]								"
"33","K00012",9165,6881,2740,1781,12068,3103,1368,7509,6887,7653,9503,12090,1472,"Metabolism","Carbohydrate metabolism",500,"Starch and sucrose metabolism [PATH:ko00500]","UGDH	 ugd; UDPglucose 6-dehydrogenase ","[EC:1.1.1.22]								"
"34","K00012",9165,6881,2740,1781,12068,3103,1368,7509,6887,7653,9503,12090,1175,"Metabolism","Carbohydrate metabolism",40,"Pentose and glucuronate interconversions [PATH:ko00040]","UGDH	 ugd; UDPglucose 6-dehydrogenase ","[EC:1.1.1.22]								"
"35","K00012",9165,6881,2740,1781,12068,3103,1368,7509,6887,7653,9503,12090,1630,"Metabolism","Carbohydrate metabolism",520,"Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","UGDH	 ugd; UDPglucose 6-dehydrogenase ","[EC:1.1.1.22]								"
