ID,MM1,MM2,MM3,MM4,MV1,MV2,MV3,UM1,UM2,UM3,UM4,UM5
P1,1421,1521,1404,1854,1426,1055,1340,1322,1233,1527,1509,1365
P10,4948,5128,4916,5055,5396,5048,5210,5305,5126,5193,5200,5214
P100,2502,2318,2278,2756,2523,2515,2440,2928,2860,2376,2887,2520
P101,601,929,405,650,696,962,569,795,770,722,945,634
P102,1424,1414,1197,1297,1348,1274,977,1589,1876,2055,1518,1551
P103,92,222,131,0,109,239,210,93,120,130,62,0
P104,5537,5674,5307,5317,5389,5393,5464,5581,5679,5126,5366,5208
P105,1260,1327,1299,1632,1314,1812,1085,1613,1919,1676,1455,1721
P106,2098,1929,2217,1977,2332,2064,1777,2152,2473,2372,2355,2469
P107,2232,2068,2235,2130,2688,2089,1747,2318,2949,2631,2602,2525
P108,77,455,170,435,230,405,135,271,270,291,227,323
P109,110,168,159,144,126,139,15,200,296,168,155,296
P11,5087,5323,5338,5459,5674,5433,5536,5572,5579,5502,5603,5451
P110,1492,1460,1154,1164,1537,1686,1051,1673,1705,1801,1449,2074
P111,31,47,0,0,38,45,0,230,178,119,122,141
P112,1754,1756,2050,1554,1943,1672,1389,1886,2057,1948,1669,2156
P114,456,229,440,435,182,195,240,311,416,282,288,409
P115,850,534,761,647,875,809,569,827,908,733,679,915
P116,1278,1081,1328,959,868,1113,776,1514,1116,931,1097,926
P117,1417,1561,1643,1901,1556,2287,1271,2032,2424,2157,1877,2260
P118,749,631,731,628,643,755,502,823,763,887,659,1064
P119,280,335,330,293,276,415,465,413,359,341,456,442
P12,1632,1547,1358,1727,1723,1558,1300,1904,1890,1810,1933,1728
P120,1983,1483,1683,1024,1315,1303,1431,1475,1311,1254,1758,340
P121,158,159,106,0,118,173,0,211,142,130,134,81
P122,3033,3213,3249,2902,3159,3213,3124,3091,3187,3069,2936,3143
P123,4388,4543,4003,4050,4657,3984,4331,5139,5655,5183,4317,5602
P124,1463,1652,1673,1979,1634,2456,1285,2269,2816,2481,1984,2563
P125,467,432,374,789,509,633,377,671,677,620,699,736
P126,88,161,92,51,203,35,106,280,164,281,215,224
P127,387,448,319,407,396,238,298,482,378,463,367,419
P128,63,54,10,71,38,70,18,58,14,51,49,42
P129,3244,3514,2850,3644,3516,3356,3026,3301,4007,3374,3359,3477
P13,601,929,405,650,696,962,569,795,770,722,945,634
P130,2704,2877,2556,2936,3044,2633,2595,2692,3078,2600,2825,2851
P131,3188,2926,3344,2871,3190,3047,2940,3238,3403,3425,3252,3739
P132,2247,2632,2176,1793,2193,2655,2017,2299,2257,2441,2044,2213
P133,624,659,469,800,696,695,655,649,713,475,506,515
P135,2335,1508,2609,2261,2060,2528,2864,1348,1276,2004,2865,777
P136,243,199,186,190,354,302,370,278,328,276,399,237
P137,1075,1040,887,1151,1145,985,852,1301,1286,1195,1326,1149
P138,2526,2332,2611,2186,2633,2492,2770,2531,2117,2361,2492,2432
P139,1635,1796,1432,1355,1767,1670,1689,1457,1426,1474,1533,1496
P14,2683,2985,2853,2606,2693,2753,2649,2789,2632,3161,2595,3119
P140,27,14,58,286,60,1616,431,99,123,72,15,49
P141,433,444,418,291,410,290,353,469,443,521,468,512
P142,2813,2903,2785,1193,2680,2943,2583,2673,2664,2027,2098,2645
P143,1744,1079,1995,1652,1514,1903,2200,956,906,1467,2208,535
P147,1159,1182,1127,1361,1110,783,774,1101,1026,624,856,1030
P148,1442,1372,1152,1116,1561,1372,1222,1274,1311,1340,1427,1252
P149,18,41,0,0,37,66,49,0,0,48,55,0
P15,1239,1812,1390,1277,1465,1347,1365,1618,1757,1332,1541,1441
P150,190,324,234,221,257,196,204,269,205,179,213,250
P151,329,374,452,317,417,327,315,399,328,364,363,315
P152,784,830,885,695,910,733,840,936,895,992,861,1022
P153,1375,1541,1477,1375,1589,1217,1200,1487,1508,1458,1478,1635
P154,724,353,430,817,336,232,669,966,1167,1514,1260,557
P155,638,884,875,0,1218,959,1119,928,900,523,1370,885
P156,3719,4326,4258,3191,4256,4288,4044,4401,4227,3981,4041,4142
P157,144,65,493,577,14,416,403,63,221,66,99,13
