Pathway,MM1,MM2,MM3,MM4,MV1,MV2,MV3,UM1,UM2,UM3,UM4,UM5
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis,91,87,77,51,88,84,65,76,63,81,82,90
2ASDEG-PWY: orthanilate degradation,0,0,0,0,0,0,0,0,0,0,0,0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,0,0,0,0,0,0,0,0,0,0,0,0
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation,0,0,0,0,0,0,0,0,0,0,0,0
4TOLCARBDEG-PWY: 4-toluenecarboxylate degradation,0,0,0,7,0,0,2,0,0,0,0,0
"7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)",0,0,0,0,0,0,0,0,0,0,0,0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism,0,0,0,0,0,0,0,0,0,0,0,0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,0,0,0,0,0,0,0,0,0,0,0,0
ANAEROFRUCAT-PWY: homolactic fermentation,93,95,89,85,99,90,82,98,97,98,99,98
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),91,93,93,93,99,93,83,98,98,98,100,97
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",0,0,0,0,0,0,0,0,0,0,0,0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis,5,40,33,20,3,28,21,12,1,40,2,36
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",0,0,0,1,0,0,0,0,0,0,0,0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),0,0,0,1,0,1,0,0,0,0,0,0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),100,100,100,100,100,100,100,100,100,100,100,100
ARO-PWY: chorismate biosynthesis I,100,100,99,94,100,98,89,100,100,100,100,100
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
AST-PWY: L-arginine degradation II (AST pathway),0,0,0,0,0,0,0,0,0,0,0,0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis,100,100,99,100,100,100,100,100,100,100,100,100
CALVIN-PWY: Calvin-Benson-Bassham cycle,100,100,100,100,100,100,99,100,100,100,100,100
CARNMET-PWY: L-carnitine degradation I,0,0,0,0,0,0,0,0,0,0,0,0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate,0,0,0,0,0,0,0,0,0,0,0,0
CENTFERM-PWY: pyruvate fermentation to butanoate,0,0,0,0,0,0,0,0,0,0,0,0
"CHLOROPHYLL-SYN: chlorophyllide a biosynthesis I (aerobic, light-dependent)",0,0,0,0,0,0,0,0,0,0,0,0
CITRULBIO-PWY: L-citrulline biosynthesis,10,36,34,40,44,28,30,9,14,33,6,31
COA-PWY-1: coenzyme A biosynthesis II (mammalian),0,2,7,30,3,2,12,0,0,0,1,0
COA-PWY: coenzyme A biosynthesis I,0,1,3,17,1,1,5,0,0,0,0,0
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I,0,0,0,0,0,0,0,0,0,0,0,0
CODH-PWY: reductive acetyl coenzyme A pathway,99,100,84,66,100,93,89,100,100,99,100,100
COLANSYN-PWY: colanic acid building blocks biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis,100,100,99,95,100,98,90,100,100,100,100,100
CRNFORCAT-PWY: creatinine degradation I,0,0,1,2,0,0,0,0,0,0,0,0
DAPLYSINESYN-PWY: L-lysine biosynthesis I,98,92,85,70,98,73,51,86,76,79,74,61
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I,8,6,6,18,1,29,22,6,5,5,1,0
ENTBACSYN-PWY: enterobactin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
FAO-PWY: fatty acid &beta;-oxidation I,100,100,99,99,100,99,97,100,100,100,100,100
FASYN-ELONG-PWY: fatty acid elongation -- saturated,100,100,100,100,100,100,98,100,100,100,100,100
FERMENTATION-PWY: mixed acid fermentation,0,0,0,0,0,0,1,0,0,0,0,2
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,0,0,0,0,0,0,0,0,0,0,0,0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation,0,0,0,0,0,0,0,0,0,0,0,0
FUCCAT-PWY: fucose degradation,0,0,0,0,0,0,0,0,0,0,0,0
